Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
4/16/2025,4:00:00 AM,142.881,142.984,142.696,142.807,4592,0,13
4/16/2025,5:00:00 AM,142.804,142.811,142.647,142.71,3715,0,13
4/16/2025,6:00:00 AM,142.71,142.726,142.489,142.517,3932,0,13
4/16/2025,7:00:00 AM,142.516,142.664,142.46,142.619,3499,0,13
4/16/2025,8:00:00 AM,142.621,142.661,142.094,142.136,5548,0,13
4/16/2025,9:00:00 AM,142.142,142.501,142.093,142.405,5727,0,13
4/16/2025,10:00:00 AM,142.405,142.45,142.037,142.092,6150,0,13
4/16/2025,11:00:00 AM,142.09,142.941,142.06,142.614,7783,0,13
4/16/2025,12:00:00 PM,142.618,142.87,142.481,142.825,5835,0,13
4/16/2025,1:00:00 PM,142.823,142.908,142.599,142.788,4470,0,13
4/16/2025,2:00:00 PM,142.787,142.806,142.613,142.649,4342,0,13
4/16/2025,3:00:00 PM,142.646,142.779,142.428,142.633,6550,0,13
4/16/2025,4:00:00 PM,142.628,142.68,142.396,142.43,7431,0,13
4/16/2025,5:00:00 PM,142.42,142.702,142.31,142.498,7381,0,13
4/16/2025,6:00:00 PM,142.498,142.852,142.483,142.569,6148,0,13
4/16/2025,7:00:00 PM,142.567,142.634,142.482,142.541,5320,0,13
4/16/2025,8:00:00 PM,142.541,142.685,142.301,142.341,6484,0,13
4/16/2025,9:00:00 PM,142.346,142.432,142.06,142.09,6907,0,13
4/16/2025,10:00:00 PM,142.101,142.12,141.635,142.101,6488,0,13
4/16/2025,11:00:00 PM,142.096,142.192,141.789,141.812,2529,0,13
4/17/2025,12:00:00 AM,141.778,141.846,141.644,141.726,555,0,37
4/17/2025,1:00:00 AM,141.721,141.948,141.711,141.838,2322,0,13
4/17/2025,2:00:00 AM,141.835,141.957,141.604,141.921,4486,0,13
4/17/2025,3:00:00 AM,141.92,142.596,141.839,142.576,8041,0,13
4/17/2025,4:00:00 AM,142.574,142.855,142.502,142.709,6303,0,13
4/17/2025,5:00:00 AM,142.708,142.722,142.379,142.55,4627,0,13
4/17/2025,6:00:00 AM,142.55,142.633,142.425,142.602,3717,0,13
4/17/2025,7:00:00 AM,142.603,142.685,142.572,142.663,3033,0,13
4/17/2025,8:00:00 AM,142.663,142.855,142.48,142.73,4371,0,13
4/17/2025,9:00:00 AM,142.729,142.874,142.64,142.73,5110,0,1
4/17/2025,10:00:00 AM,142.735,142.905,142.597,142.885,5986,0,13
4/17/2025,11:00:00 AM,142.886,143.075,142.64,142.671,5470,0,13
4/17/2025,12:00:00 PM,142.673,142.835,142.637,142.761,4515,0,13
4/17/2025,1:00:00 PM,142.761,142.806,142.492,142.573,5324,0,13
4/17/2025,2:00:00 PM,142.571,142.612,142.45,142.588,4694,0,13
4/17/2025,3:00:00 PM,142.588,142.688,142.28,142.311,6820,0,13
4/17/2025,4:00:00 PM,142.312,142.349,142.131,142.136,8034,0,13
4/17/2025,5:00:00 PM,142.135,142.268,141.894,142.205,7476,0,13
4/17/2025,6:00:00 PM,142.205,142.362,142.139,142.325,6980,0,13
4/17/2025,7:00:00 PM,142.328,142.623,142.18,142.453,6949,0,13
4/17/2025,8:00:00 PM,142.454,142.556,142.383,142.551,5144,0,13
4/17/2025,9:00:00 PM,142.551,142.709,142.354,142.437,4986,0,13
4/17/2025,10:00:00 PM,142.443,142.451,142.344,142.383,4551,0,13
4/17/2025,11:00:00 PM,142.382,142.507,142.347,142.36,2960,0,13
4/18/2025,12:00:00 AM,142.344,142.454,142.321,142.394,412,0,49
4/18/2025,1:00:00 AM,142.297,142.429,142.293,142.349,2476,0,29
4/18/2025,2:00:00 AM,142.358,142.415,142.259,142.331,4657,0,6
